Estimate Total Population,Male Estimate Total,Male Margin od Error Total,Estimate Total Income,Estimate Mean income (dollars),Margin of Error Mean income (dollars),Estimate Margin of Error Total,Estimate Total Insured,Margin of Error Total Insured,Estimate Total Uninsured,Margin of Error Total Uninsured,Estimate Total Poverty,Margin of Error Total Poverty,Estimate Below Poverty,Margin of Error Below Poverty,Population
4785298,2322243,4446,1815152,10938,65730,880,4702769,1669,686592,17082,4666970,2567,888290,22673,4802740
713985,372436,1772,254610,2804,93329,2957,689249,1872,136840,7333,696822,1573,69279,6120,722718
6413737,3190700,2757,2334050,12895,71580,930,6310174,2001,1065132,21655,6272686,3673,1094249,33633,6482505
2921606,1430837,4306,1114902,8104,61359,1099,2867611,1672,500613,15221,2839798,2045,534898,16599,2937979
37349363,18570505,5032,12406475,16820,88178,521,36815569,4634,6824913,55568,36593372,8519,5783043,74336,37691912
5049071,2531362,3639,1960585,9151,86004,1116,4956873,2211,789109,22458,4934178,2454,659786,23009,5116796
3577073,1738918,1627,1358809,7109,108218,1616,3519913,989,320133,11328,3466977,2302,350145,15842,3580709
899769,436608,1451,328765,4178,84491,2420,885232,820,85801,7028,874321,1107,103427,8098,907135
604453,285729,795,252388,3730,121027,5305,594282,401,45164,3871,570953,564,109423,7577,617996
18843326,9212548,5887,7035068,25739,72079,660,18534081,4456,3941060,49984,18436788,6230,3047343,41603,19057542
9712587,4742754,6636,3482420,15694,72446,563,9519836,3059,1875566,34875,9446906,4877,1688932,36955,9815210
1363621,684087,1583,445812,4223,90072,1796,1315677,2309,103764,6173,1326373,1510,142185,9627,1374810
1571450,787506,2645,576709,5739,64759,1241,1551635,954,275404,10722,1541860,1275,242272,10788,1584985
12843166,6294434,5283,4752857,13579,84494,684,12673245,2432,1745556,26502,12543457,3191,1731711,31915,12869259
6490621,3197124,3805,2470905,11185,68429,588,6391470,950,947920,19803,6294417,3609,962775,25003,6516922
3049883,1505879,3896,1223439,6610,73114,919,3004885,571,279811,9754,2950251,2192,370507,13924,3062309
2859169,1417134,3693,1101658,6952,75190,1123,2804461,1848,389446,12132,2775355,2167,377530,15414,2871238
4346266,2140493,4037,1684348,9801,64281,868,4242714,4353,647041,15841,4215643,2986,800226,20902,4369356
4544228,2227014,4151,1689822,9615,69092,1024,4440314,1830,790987,18377,4413890,3449,825144,21101,4574836
1327567,648889,1474,545417,5576,70473,1390,1313037,991,133065,6281,1293012,1146,167242,7702,1328188
5785982,2799597,3400,2127439,8728,104164,1218,5687998,2852,640861,16506,5643821,3530,557140,21050,5828289
6557254,3170167,2392,2520419,10488,100712,1111,6478067,1529,285717,13613,6333611,2630,725143,21471,6587536
9877574,4848760,3767,3806621,12287,70883,460,9763683,1209,1207384,20391,9656449,3934,1618257,30260,9876187
5310584,2635397,3097,2091548,8178,84946,934,5252092,680,476259,13399,5189200,2281,599516,15022,5344861
2970036,1441525,4150,1079999,8323,58584,899,2902907,1467,528095,15479,2875594,2515,643883,22452,2978512
5996231,2932383,4144,2350628,10288,71266,830,5879864,2130,773894,16408,5817852,2620,888570,21761,6010688
990898,499235,2028,402747,4175,67131,1749,975562,1190,168981,7243,964509,2420,140969,9640,998199
1830429,906540,2253,719304,4689,74215,1303,1802049,954,207653,6981,1776166,2053,229923,11823,1842641
2704642,1365498,2352,989811,6963,74278,1376,2668966,1868,603700,15698,2666662,1598,398027,20092,2723322
1316759,647349,1875,515431,4523,89864,1732,1302639,468,145013,8709,1276614,1142,105786,8064,1318194
8801624,4284049,2455,3172421,11815,106125,959,8693541,1177,1151158,20359,8626524,2857,884789,24939,8821155
2065932,1020996,2983,765183,5603,66508,1259,2032699,1222,398558,13759,2024716,1715,413851,19768,2082224
19392283,9387534,4174,7196427,16507,91447,742,19134281,2566,2277382,35303,18879810,5820,2821470,46759,19465197
9561558,4657156,7691,3670859,14413,69114,665,9360661,4149,1569837,28195,9304553,3703,1627602,29606,9656401
674499,343445,1580,280412,3191,75754,1831,660611,725,64535,4630,651415,600,84895,5668,683932
11536182,5630118,4606,4525066,15956,70653,445,11358640,5507,1398943,26821,11224969,4110,1779032,32237,11544951
3761702,1856245,4017,1432959,7544,65945,798,3677206,1908,693551,12664,3646849,2289,616610,15751,3791508
3838957,1902185,3522,1507137,8164,71966,941,3799107,882,651504,16257,3765919,2565,596408,17283,3871859
