Estimate Total Population,Male Estimate Total,Male Margin od Error Total,Estimate Total Income,Estimate Mean income (dollars),Margin of Error Mean income (dollars),Estimate Margin of Error Total,Estimate Total Insured,Margin of Error Total Insured,Estimate Total Uninsured,Margin of Error Total Uninsured,Estimate Total Poverty,Margin of Error Total Poverty,Estimate Below Poverty,Margin of Error Below Poverty,Estimate Number Population 16 years and over,Margin of Error Number Population 16 years and over,Estimate Percent Unemployed,Margin of Error Percent Unemployed,Estimate PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Margin of Error PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Estimate Occupied housing units,Margin of Error Occupied housing units,Estimate Owner-occupied housing units,Margin of Error Owner-occupied housing units,Estimate Owner-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Margin of Error Owner-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Estimate Renter-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Margin of Error Renter-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Estimate Number Women 15 to 50 years,Margin of Error Number Women 15 to 50 years,"Estimate Women with births (Rate per 1,000 women)","Margin of Error Women with births (Rate per 1,000 women)","Estimate Percent of women who had a birth in the past 12 months who were unmarried (Rate per 1,000 women)","Margin of Error Percent of women who had a birth in the past 12 months who were unmarried (Rate per 1,000 women)",Estimate Male Mean usual hrs worked,Margin of Error Male Mean usual hrs worked,Estimate Female Mean usual hrs worked,Margin of Error Female Mean usual hrs worked,Population
0.4883997083701481,0.23701403840776852,0.00045377008984888266,0.18525903871555985,0.0011163601535688437,0.006708571301342119,8.981504252519495e-05,0.47997658831950973,0.00017034239315289815,0.07007532917893029,0.001743432450472023,0.4763228511520558,0.00026199456154792663,0.09066114105080161,0.002314064158151983,0.38636339012098225,0.00044295145972652965,1.204338070224205e-06,4.0825019329634074e-08,1.500319460364052e-06,5.103127416204259e-08,0.18525903871555985,0.0011163601535688437,0.1299099063841185,0.0013075233065798551,7.879228730619376e-05,1.1226880315649368e-06,6.80757197321648e-05,9.185629349167665e-07,0.006760929388632374,0.00043131632921758397,5.7155027061487695e-06,4.082501932963407e-07,4.592814674583833e-06,3.470126643018896e-07,4.204976990952309e-06,2.0412509664817037e-08,3.6538392300022487e-06,2.0412509664817037e-08,4802740
0.4930502362587109,0.2571897978126281,0.0012236741929458402,0.1758237507144133,0.0019363332037359684,0.0644493728856898,0.0020419890454519466,0.4759685179535708,0.0012927302986425581,0.0944963750353887,0.0050638842307403195,0.48119813683798324,0.0010862525426093717,0.04784137946562916,0.004226233668639132,0.37772377750096425,0.0010924675921220764,6.629386146884913e-06,4.833927398770249e-07,4.972039610163685e-06,6.215049512704607e-07,0.1758237507144133,0.0019363332037359684,0.11241298165840215,0.002677995778918718,0.0009412347206462642,3.314693073442457e-05,0.0006774403968848021,1.4501782196310748e-05,0.008627869845747928,0.0012333420477433808,4.833927398770249e-05,6.9056105696717845e-06,2.2028897717252992e-05,4.281478553196507e-06,3.148958419770334e-05,4.1433663418030707e-07,2.5826983530572472e-05,4.833927398770249e-07,722718
0.4909277970245528,0.24422631017864324,0.0002110295349492335,0.17865559885682208,0.0009870242485202634,0.005478960504775529,7.118515324729313e-05,0.4830007561366502,0.00015316289424498233,0.08152858564365142,0.0016575424662044439,0.4801313055722045,0.0002811430837390405,0.08375729328569598,0.0025743766227593655,0.3799404221287299,0.0003550837913055837,9.032094713097409e-07,3.061727021388952e-08,9.567896941840475e-07,3.82715877673619e-08,0.17865559885682208,0.0009870242485202634,0.1165705106625012,0.001018713123191639,8.565181342335593e-05,9.185181064166856e-07,6.460244015130688e-05,6.888885798125142e-07,0.0065987871628485385,0.00037934797795009117,4.286417829944533e-06,2.296295266041714e-07,3.161233149584093e-06,2.4493816171111616e-07,3.077035656495897e-06,1.530863510694476e-08,2.7632086368035294e-06,1.530863510694476e-08,6482505
0.4888977766686778,0.23943441657611633,0.0007205604815759985,0.18656626150256475,0.0013561128989066167,0.010267735854394262,0.00018390524134974972,0.47986232306842325,0.00027979032168951913,0.08377193320093017,0.0025470624918876622,0.4752081315509887,0.0003422076602003987,0.08950914084394762,0.0027776552330887132,0.38331776087591557,0.000680901207508764,1.6064516077867129e-06,6.69354836577797e-08,2.3594757989367343e-06,1.0040322548666955e-07,0.18656626150256475,0.0013561128989066167,0.12576641895427543,0.0015380100757466332,0.00010994153190790316,2.1754032188778404e-06,0.00010676209643415862,1.338709673155594e-06,0.0062490967542903125,0.0005348145144256598,9.03629029380026e-06,8.366935457222463e-07,6.5429435275479665e-06,7.530241911500216e-07,6.944556429494644e-06,5.020161274333478e-08,6.057661271029064e-06,3.346774182888985e-08,2937979
0.4938227170155168,0.24553396628077,6.653168119686754e-05,0.1640349045065396,0.00022238928412784422,0.0011658645835805617,6.888514686718599e-06,0.48676504367831475,6.126943773177349e-05,0.09023706993488809,0.0007347043840913227,0.4838272177707431,0.00011263580924406093,0.07646175938469325,0.00098284957342018,0.3855390211079991,0.00014029564172892718,1.6923798078694449e-07,1.3221717248980038e-09,1.5601626353796446e-07,2.6443434497960076e-09,0.1640349045065396,0.00022238928412784422,0.09127182797022777,0.00036230149605655097,2.3666873875674267e-05,1.057737379918403e-07,1.5376857160563783e-05,6.610858624490018e-08,0.006718126416530993,0.00016950241513192407,7.00751014195942e-07,1.3221717248980038e-08,4.482162147404232e-07,1.5866060698776043e-08,5.262243465094055e-07,1.3221717248980038e-09,4.680487906138933e-07,1.3221717248980038e-09,37691912
0.4883503610106146,0.2448354452826176,0.0003519671170632432,0.1896294174793731,0.0008850923573085295,0.008318378657847533,0.00010794045139944475,0.47943289350333324,0.00021384976527255586,0.0763232810603624,0.0021721565031619446,0.4772378141623741,0.00023735292807727367,0.06381505256902693,0.002225449683019556,0.3825962840770161,0.00041831760959014206,9.575362624144293e-07,2.9016250376194824e-08,9.091758451207712e-07,3.868833383492644e-08,0.1896294174793731,0.0008850923573085295,0.12503992118780555,0.0010879159474381313,0.00012834854749736843,1.160650015047793e-06,8.347008024885378e-05,7.737666766985286e-07,0.006658068811321665,0.0004263454388608893,5.3196459023023845e-06,3.868833383492643e-07,2.8822808707020194e-06,2.9016250376194825e-07,3.975226301538691e-06,1.934416691746322e-08,3.4529337947671844e-06,1.934416691746322e-08,5116796
0.4903808375987318,0.23838822002109308,0.0002230453845289533,0.1862790878342978,0.0009745726113191943,0.01483560259554657,0.00022153739483637895,0.4825447747962272,0.00013558198235964034,0.04388702402299165,0.001552955203407488,0.4752877800356712,0.0003155811156641982,0.048001368264222716,0.0021717793372511853,0.39245801892172305,0.00035382921786676614,1.4394447065482545e-06,5.4835988820885886e-08,9.87047798775946e-07,6.854498602610735e-08,0.1862790878342978,0.0009745726113191943,0.1266186287169504,0.001135927508424651,0.00023360131237697384,2.0563495807832204e-06,0.00013599325227579698,1.6450796646265764e-06,0.005758053006137122,0.000447598758750481,6.5803186585063055e-06,5.483598882088588e-07,4.386879105670871e-06,5.483598882088588e-07,5.5384348709094735e-06,2.7417994410442943e-08,4.770731027417071e-06,2.7417994410442943e-08,3580709
0.4907720156144187,0.238144443955482,0.0007914366850341827,0.17932231685407515,0.002278857663730403,0.04608495999670788,0.0013199702121176582,0.4828429218236937,0.00044726263385804946,0.04679948932640793,0.003833368037505331,0.47689160158219956,0.0006038045557083668,0.05641345418541034,0.004416991230466445,0.3909653588689949,0.0007412559992842552,5.072612798633976e-06,3.818095654885788e-07,4.418082114939269e-06,5.454422364122554e-07,0.17932231685407515,0.002278857663730403,0.13084286543951748,0.0022434039183636067,0.0006774392576240212,1.8545036038016687e-05,0.0005192610090644672,1.199972920106962e-05,0.005400969024954154,0.0009539784714850348,2.4544900638551494e-05,4.363537891298043e-06,2.3181295047520856e-05,4.03627254945069e-06,2.192677790377267e-05,2.1817689456490218e-07,1.9690464734482423e-05,2.1817689456490218e-07,907135
0.48400837352620585,0.22879401468645086,0.0006365865616571241,0.20209661524970848,0.0029867520440013495,0.09691089534298963,0.00424791410011452,0.47586406922606167,0.00032109586317548023,0.03616452260463189,0.003099656075691481,0.4571836567771321,0.0004516161267605258,0.08761913375623584,0.006067190412171106,0.41272749411468945,0.0008231584721805329,9.929148886224326e-06,8.808115947457064e-07,1.1290403169013145e-05,1.2811805014483002e-06,0.20209661524970848,0.0029867520440013495,0.08583348843234227,0.003142095179801956,0.0014965789732542957,5.4450171311552755e-05,0.0009592839004594147,3.1228774722802315e-05,0.0072851126263603965,0.0013084055871040766,3.923615285685419e-05,7.206640320646688e-06,4.26793254544965e-05,7.12656653930617e-06,3.3230619256315285e-05,4.003689067025938e-07,3.1068627160121275e-05,4.003689067025938e-07,617996
0.485698044302054,0.23745895743876633,0.0001517409605292713,0.18133310271933747,0.00066343818295616,0.0018578795131627905,1.7011896373249376e-05,0.47772706870516685,0.0001148560761199988,0.10158318836478512,0.0012883676186674193,0.4752192831993448,0.0001605819915232479,0.07854709595416193,0.0010723423103277177,0.3950879415076238,0.0002024931180427986,3.4281548752154046e-07,5.155120113105871e-09,3.0930720678635223e-07,5.155120113105871e-09,0.18133310271933747,0.00066343818295616,0.12357157993922124,0.0006529475135259896,2.801807781473041e-05,1.8042920395870548e-07,2.4409493735556298e-05,1.2887800282764678e-07,0.005457648336943489,0.0002821397237902843,1.237228827145409e-06,5.155120113105871e-08,1.043911822903939e-06,5.4128761187611645e-08,1.0361791427342802e-06,2.5775600565529355e-09,9.356543005287156e-07,2.5775600565529355e-09,19057542
