Estimate Total Population,Male Estimate Total,Male Margin od Error Total,Estimate Total Income,Estimate Mean income (dollars),Margin of Error Mean income (dollars),Estimate Margin of Error Total,Estimate Total Insured,Margin of Error Total Insured,Estimate Total Uninsured,Margin of Error Total Uninsured,Estimate Total Poverty,Margin of Error Total Poverty,Estimate Below Poverty,Margin of Error Below Poverty,Estimate Number Population 16 years and over,Margin of Error Number Population 16 years and over,Estimate Percent Unemployed,Margin of Error Percent Unemployed,Estimate PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Margin of Error PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Estimate Occupied housing units,Margin of Error Occupied housing units,Estimate Owner-occupied housing units,Margin of Error Owner-occupied housing units,Estimate Owner-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Margin of Error Owner-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Estimate Renter-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Margin of Error Renter-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Estimate Number Women 15 to 50 years,Margin of Error Number Women 15 to 50 years,"Estimate Women with births (Rate per 1,000 women)","Margin of Error Women with births (Rate per 1,000 women)","Estimate Percent of women who had a birth in the past 12 months who were unmarried (Rate per 1,000 women)","Margin of Error Percent of women who had a birth in the past 12 months who were unmarried (Rate per 1,000 women)",Estimate Male Mean usual hrs worked,Margin of Error Male Mean usual hrs worked,Estimate Female Mean usual hrs worked,Margin of Error Female Mean usual hrs worked,Estimate Total Education,Margin of Error Total Education,Estimate Less than high school graduate,Margin of Error Less than high school graduate,Population
0.4641032433159074,0.22522327931670355,0.0004311963476010323,0.17604294033754136,0.0010608244826945774,0.006374839389972076,8.534700537312379e-05,0.4560991489904091,0.00016186835450879956,0.06658928535584524,0.001656701756572387,0.4526271746206904,0.0002489610940827372,0.08615101295783197,0.0021989461963918587,0.367142935142336,0.000420915912862906,1.1444257538668873e-06,3.879409335141991e-08,1.4256829306646815e-06,4.849261668927488e-08,0.17604294033754136,0.0010608244826945774,0.12344726636495355,0.0012424778248126011,7.487260016824042e-05,1.0668375671640475e-06,6.46891506634927e-05,8.728671004069479e-07,0.006424592814695272,0.0004098595962577513,5.431173069198787e-06,3.8794093351419904e-07,4.3643355020347395e-06,3.297497934870692e-07,3.9957916151962504e-06,1.9397046675709955e-08,3.4720713549520814e-06,1.9397046675709955e-08,0.30662085201618605,0.0005002498337665597,0.054784630689941674,0.001207175199862809,4802740
0.47061887621223814,0.24548892733178027,0.0011680030373860599,0.16782463507272274,0.0018482395693174448,0.061517243496728886,0.0019490885900398302,0.4543142920515262,0.0012339174300150702,0.0901972548735375,0.0048335024114853145,0.45930598900532116,0.0010368333960543298,0.04566483206945195,0.0040339608288954215,0.360539203946086,0.0010427656913909406,6.327781692384975e-06,4.6140074840307106e-07,4.745836269288731e-06,5.932295336610914e-07,0.16782463507272274,0.0018482395693174448,0.10729874404113418,0.0025561601461530138,0.0008984131715334084,3.163890846192487e-05,0.0006466201916905896,1.3842022452092132e-05,0.00823534421506853,0.0011772310523541214,4.614007484030711e-05,6.591439262901016e-06,2.102669124865424e-05,4.0866923429986296e-06,3.0056963038828633e-05,3.954863557740609e-07,2.4651982843249798e-05,4.6140074840307106e-07,0.2969950928760151,0.0011330684092926845,0.02661359516788914,0.0021692426614207242,722718
0.46748147044398736,0.23256225313660828,0.0002009509298579086,0.17012314756432773,0.0009398847444750568,0.005217289647888683,6.778540615446319e-05,0.4599330188121866,0.00014584795453234499,0.07763484433130718,0.0015783795379300002,0.4572006109563603,0.00026771591054337987,0.07975711064420987,0.0024514264141860865,0.36179476553242484,0.0003381252679038223,8.600728952931889e-07,2.9155013399769114e-08,9.110941687427848e-07,3.644376674971139e-08,0.17012314756432773,0.0009398847444750568,0.11100319449254394,0.0009700601833438178,8.156114998585409e-05,8.746504019930733e-07,6.151707827351282e-05,6.55987801494805e-07,0.0062836342629852375,0.0003612306160231393,4.081701875967675e-06,2.1866260049826833e-07,3.0102551335261608e-06,2.332401071981529e-07,2.930078846676796e-06,1.4577506699884557e-08,2.6312399593291626e-06,1.4577506699884557e-08,0.3022469626389994,0.00022565980371421293,0.04339366595641485,0.0010960098412308202,6482505
0.46484382026561094,0.22765415229068736,0.0006851086320550138,0.1773871305377146,0.0012893916289302909,0.009762559348412353,0.00017485703358765913,0.45625291441614263,0.00026602453153645684,0.0796503222524284,0.0024217460493519195,0.451827710890052,0.0003253709132727597,0.08510525709915531,0.002640993540056009,0.36445838137237774,0.0006474006093432074,1.527413578199752e-06,6.364223242498968e-08,2.243388692980886e-06,9.54633486374845e-08,0.1773871305377146,0.0012893916289302909,0.11957866334796159,0.0014623393955452001,0.00010453236675804553,2.0683725538121642e-06,0.00010150936071785853,1.2728446484997934e-06,0.005941638819197036,0.0005085014370756675,8.591701377373606e-06,7.955279053123709e-07,6.221028219542741e-06,7.159751147811338e-07,6.6028816140926785e-06,4.773167431874225e-08,5.759622034461566e-06,3.182111621249484e-08,0.3053907526140963,0.0008510557531031744,0.05209498577379955,0.0013996517966065854,2937979
0.4697133361935761,0.23354652282421753,6.328347575100745e-05,0.15602640298449527,0.00021153180884975065,0.0011089448181185084,6.552204067224738e-06,0.4630002321285854,5.827814519677435e-05,0.08583152152985603,0.0006988346940643844,0.46020583656788455,0.00010713671103394922,0.0727287483023715,0.0009348649549735473,0.36671625989971124,0.00013344613696222973,1.6097545501051182e-07,1.2576207422696236e-09,1.4839924758781556e-07,2.515241484539247e-09,0.15602640298449527,0.00021153180884975065,0.08681576067517108,0.0003446132357967222,2.251141128662626e-05,1.0060965938156987e-07,1.462612923259572e-05,6.288103711348117e-08,0.0063901344821684514,0.00016122697915896573,6.665389934029004e-07,1.2576207422696234e-08,4.263334316294023e-07,1.509144890723548e-08,5.005330554233101e-07,1.2576207422696236e-09,4.451977427634467e-07,1.2576207422696236e-09,0.3030513855061957,7.202393990978134e-05,0.05847989271624924,0.0004942197992971166,37691912
0.46462836290555076,0.23294237335567688,0.0003348700409666054,0.18041802123344655,0.0008420983085697736,0.007914306953364092,0.00010269716013155582,0.45614406830894755,0.00020346184681977592,0.07261581839986728,0.0020666423138301798,0.4540556166519712,0.0002258233252355179,0.06071518682308126,0.0021173467360815126,0.3640113724019285,0.00039799750678223914,9.110231947154145e-07,2.760676347622468e-08,8.650119222550401e-07,3.680901796829958e-08,0.18041802123344655,0.0008420983085697736,0.11896600989318487,0.001035069585268584,0.00012211391710983385,1.1042705390489872e-06,7.941545626660634e-05,7.361803593659916e-07,0.006334647947254516,0.00040563537801066135,5.061239970641192e-06,3.680901796829958e-07,2.7422718386383186e-06,2.760676347622468e-07,3.7821265962427818e-06,1.840450898414979e-08,3.2852048536707375e-06,1.840450898414979e-08,0.3062551705107739,0.00035134207650741947,0.03160348664722265,0.0009022810529479433,5116796
0.4648588840948532,0.22598126485326242,0.00021143694982526947,0.17658416125084486,0.0009238508151861345,0.01406348115315981,0.00021000744371090071,0.4574306505041879,0.0001285255951918817,0.041602916446473875,0.001472131387597205,0.45055134726144025,0.0002991566432069885,0.04550312894687706,0.0020587487148936196,0.3720324750522037,0.0003354141164714324,1.3645285637156297e-06,5.198204052250018e-08,9.356767294050033e-07,6.497755065312523e-08,0.17658416125084486,0.0009238508151861345,0.12002874080317512,0.0010768079694235913,0.00022144349262585077,1.949326519593757e-06,0.00012891546049580044,1.5594612156750053e-06,0.005458374165065131,0.0004243034057649077,6.237844862700021e-06,5.198204052250018e-07,4.158563241800014e-06,5.198204052250018e-07,5.250186092772518e-06,2.599102026125009e-08,4.522437525457515e-06,2.599102026125009e-08,0.31636048938321387,0.00021156690492657573,0.035998602702641824,0.0013170949517388483,3580709
0.46602524742563006,0.22613620965826728,0.0007515291524986849,0.17028013909113035,0.0021639481730802933,0.04376116445469772,0.0012534118187779583,0.4584959715539048,0.00042470978983385365,0.0444396642408957,0.00364007366213698,0.4528447416552741,0.0005733582162757025,0.053568852967251196,0.0041942681439933495,0.37125125782420565,0.000703878785834399,4.8168305432376085e-06,3.6255713766304577e-07,4.19530402152953e-06,5.179387680900654e-07,0.17028013909113035,0.0021639481730802933,0.12424522344451726,0.002130282153154439,0.0006432799499678613,1.7609918115062224e-05,0.0004930777072217423,1.139465289798144e-05,0.005128629681627828,0.0009058749053895244,2.3307244564052944e-05,4.143510144720523e-06,2.201239764382778e-05,3.832746883866485e-06,2.0821138477220633e-05,2.071755072360262e-07,1.8697589528051363e-05,2.071755072360262e-07,0.3111667351543814,0.0005883784405503143,0.03839013942960374,0.0026161087176229205,907135
0.45874594051202927,0.21685229262914008,0.0006033604311783766,0.19154834277263913,0.0028308608909375405,0.09185270805562941,0.004026197594215457,0.451026721712639,0.00030433651937425036,0.034276944042440506,0.002937871986278611,0.4333213185692927,0.00042804438136428226,0.08304592259224089,0.005750518222690012,0.3911855100427615,0.0007801943688696492,9.410904838505497e-06,8.348383324480683e-07,1.0701109534107056e-05,1.2143103017426448e-06,0.19154834277263913,0.0028308608909375405,0.08135347760918707,0.0029780960150238363,0.0014184662212231268,5.16081878240624e-05,0.0009092148384298053,2.9598813604976966e-05,0.006904871953284114,0.001240114395654676,3.718825299086849e-05,6.8304954473023765e-06,4.045171192680185e-05,6.7546010534434616e-06,3.149617345144985e-05,3.794719692945765e-07,2.9447024817259133e-05,3.794719692945765e-07,0.3163460482584851,0.0005024208873460193,0.039762590830562904,0.0028354145545690756,617996
0.4597603507613707,0.22477795586012594,0.0001436375502356744,0.17164938563978008,0.0006280086471065098,0.0017586633231590238,1.6103411441403955e-05,0.45221504853228434,0.00010872242633772125,0.09615834953827193,0.0012195650264956595,0.4498411860938472,0.00015200644436355552,0.07435245171527614,0.0010150761002980738,0.3739890919885362,0.00019167939436919617,3.245081396525343e-07,4.8798216489102895e-09,2.927892989346174e-07,4.8798216489102895e-09,0.17164938563978008,0.0006280086471065098,0.11697249680845144,0.0006180782100509772,2.6521830661827424e-05,1.7079375771186013e-07,2.3105955507590222e-05,1.2199554122275723e-07,0.00516619398237659,0.00026707263884486013,1.1711571957384695e-06,4.87982164891029e-08,9.881638839043335e-07,5.123812731355804e-08,9.808441514309682e-07,2.4399108244551448e-09,8.856876292772175e-07,2.4399108244551448e-09,0.31907150595437506,0.00018484764406072178,0.046335150910923675,0.0006006816458726121,19057542
0.46907944446842204,0.22905621453587868,0.0003204924901565822,0.1681870791999827,0.0007579579777753769,0.0034988545723152135,2.719066786590654e-05,0.4597703353710484,0.00014773757193926838,0.09058240171685056,0.0016843242305923456,0.4562481055176548,0.00023553976408885647,0.08156871946732018,0.0017847799839868137,0.36211425484606286,0.0003079355209822737,6.085300446011055e-07,1.4488810585740606e-08,6.616556834154877e-07,1.931841411432081e-08,0.1681870791999827,0.0007579579777753769,0.11128203414431002,0.0008245582104344979,5.3415415026097036e-05,3.863682822864162e-07,3.955445289907186e-05,3.3807224700061416e-07,0.0070374567816706415,0.00035676281265621955,2.8011700465765172e-06,1.4488810585740606e-07,1.91252299731776e-06,1.1108088115734465e-07,1.9946262573036234e-06,4.829603528580202e-09,1.7579756844031936e-06,4.829603528580202e-09,0.3011558684369587,0.0003702857025362441,0.04730881602852494,0.0008038875073321746,9815210
0.4708918837846507,0.23623207335659274,0.0005466488503998561,0.1539498529971324,0.0014583058087420037,0.031104077860528004,0.0006202029913570066,0.45433564090178863,0.0007973545139439467,0.0358322623581116,0.0021316887893356356,0.45802923288149605,0.0005214401542032739,0.04909997902343874,0.003324439976499946,0.37766252810837053,0.0006264188342547939,2.7971293040043168e-06,2.0719476325957903e-07,2.555402080201475e-06,2.762596843461054e-07,0.1539498529971324,0.0014583058087420037,0.08927780621631458,0.0018723500106557292,0.0005587352115899981,1.6575581060766322e-05,0.0004458140656135276,1.1050387373844215e-05,0.006885427307721244,0.0008301603514600466,2.1755450142255797e-05,2.7625968434610537e-06,1.132664705819032e-05,1.7611554877064216e-06,1.3743919296218742e-05,1.381298421730527e-07,1.2569815637747795e-05,1.381298421730527e-07,0.32009104586445847,0.0004720587356264076,0.0323220377438889,0.0018909975393490914,1374810
0.4687198914965531,0.23489116858499126,0.0007889300410502293,0.17201627789944676,0.0017117843121312916,0.019315811163845672,0.00037015583400504146,0.4628096273137893,0.00028455170478711487,0.08214536447084966,0.0031980748204690204,0.45989401629251664,0.00038029708973120693,0.07226300903792861,0.003217760787466871,0.3542349573316433,0.0006239854993864196,2.982722272401623e-06,1.7896333634409738e-07,3.4599578359858828e-06,2.087905590681136e-07,0.17201627789944676,0.0017117843121312916,0.11976584394819685,0.001879711576067503,0.00027530526574266983,5.667172317563084e-06,0.00020371993120503086,3.87753895412211e-06,0.007006116345644173,0.0007098879008315863,1.8791150316130227e-05,1.7896333634409738e-06,7.605941794624139e-06,1.4913611362008115e-06,1.2080025203226573e-05,8.948166817204869e-08,1.0260564617061584e-05,1.1930889089606493e-07,0.2946419559624223,0.0008810961592674395,0.03444030099051258,0.0015259607145606704,1584985
0.46625204556208405,0.22851006738957755,0.00019179145988648671,0.17254540652313224,0.0004929654048454672,0.0030674290387372343,2.4831602983599642e-05,0.46008331630685567,8.829014394168763e-05,0.06336981517198868,0.0009621157050750844,0.45537155594423073,0.00011584451041033109,0.0628671930326496,0.0011586266216689805,0.3661205669204277,0.00023063621893977857,4.1386004972666077e-07,7.260702626783522e-09,3.6666548265256785e-07,7.260702626783522e-09,0.17254540652313224,0.0004929654048454672,0.11687327936552004,0.0005913479254383839,4.552460546993268e-05,3.267316182052585e-07,3.078537913756213e-05,1.8151756566958805e-07,0.0065102364032791765,0.0002455206593246848,2.032996735499386e-06,7.260702626783522e-08,1.2996657701942502e-06,7.260702626783522e-08,1.4666619306102714e-06,3.630351313391761e-09,1.2778836623139e-06,3.630351313391761e-09,0.3073369019556206,0.00017625355626517,0.0403147246035973,0.000656948373671373,12869259
0.466250304413494,0.2296637006301381,0.00027333014950238884,0.1774961453498555,0.0008034685209419762,0.0049155607885148405,4.223866699274761e-05,0.4591278451090758,6.824274429100379e-05,0.06809332859824033,0.0014225379633628927,0.45215609451783917,0.00025925059383813967,0.06916042961554861,0.001796077195271545,0.36426195407739487,0.0003483253337548183,7.758122508872011e-07,2.1550340302422248e-08,7.901791444221492e-07,2.8733787069896334e-08,0.1774961453498555,0.0008034685209419762,0.12475858356857382,0.0008582063853101287,6.22804834740003e-05,5.028412737231858e-07,4.906294142184799e-05,4.31006806048445e-07,0.005910037159003952,0.0003395615286984999,3.735392319086523e-06,2.155034030242225e-07,2.686609091035307e-06,2.0113650948927432e-07,2.930846281129426e-06,1.4366893534948167e-08,2.5285732621508773e-06,7.1834467674740836e-09,0.3038452877016834,0.0003666431230118772,0.039385258267771554,0.0007547647518585019,6516922
