Estimate Total Population,Male Estimate Total,Male Margin od Error Total,Estimate Total Income,Estimate Mean income (dollars),Margin of Error Mean income (dollars),Estimate Margin of Error Total,Estimate Total Insured,Margin of Error Total Insured,Estimate Total Uninsured,Margin of Error Total Uninsured,Estimate Total Poverty,Margin of Error Total Poverty,Estimate Below Poverty,Margin of Error Below Poverty,Estimate Number Population 16 years and over,Margin of Error Number Population 16 years and over,Estimate Percent Unemployed,Margin of Error Percent Unemployed,Estimate PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Margin of Error PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Population
0.501416554135698,0.2433309446821798,0.00046586398583480345,0.19019656896446585,0.0011461134226408186,0.006887368373576615,9.220879611665026e-05,0.4927689408007991,0.000174882364453056,0.07194297925377628,0.0017898984718916133,0.48901782410514005,0.0002689772495811832,0.09307744488915824,0.002375738675400922,0.39666076043564313,0.0004547570172116615,1.236436129745992e-06,4.191308914393193e-08,1.5403060260394986e-06,5.2391361429914916e-08,4802740
0.5041737386450914,0.2629921504317643,0.0012512810001317981,0.17979043760923089,0.001980018016009911,0.06590338852217867,0.0020880575154569566,0.486706646760633,0.0013218950520579719,0.0966282686557761,0.005178128427746318,0.4920542489130022,0.0011107590367987125,0.04892070903393388,0.004321579977881831,0.38624544736630423,0.0011171143014720682,6.778948984912676e-06,4.94298363483216e-07,5.084211738684507e-06,6.355264673355634e-07,722718
0.5025063298324093,0.24998638805992016,0.000216006666838374,0.18286919141607066,0.0010103032168592065,0.005608181796260722,7.286405519031114e-05,0.4943923296736198,0.00015677524132883073,0.08345143745480267,0.0016966356076840727,0.49145520311343227,0.0002877738437785084,0.08573270916983093,0.0026350932991567036,0.38890131753801616,0.00036345844304070253,9.245116680060984e-07,3.1339378576477913e-08,9.793555805149347e-07,3.917422322059739e-08,6482505
0.5017749077770303,0.24574090541947227,0.0007395394015784101,0.19148025032479624,0.0013918317023667987,0.010538178853100247,0.00018874914127605034,0.4925014683928626,0.000287159749056921,0.08597841115707679,0.0026141498447340874,0.4877246896246089,0.0003512211045582556,0.09186673172909623,0.0028508161929400905,0.39341400859582365,0.00069883553762716,1.648764109417728e-06,6.8698504559072e-08,2.421622285707288e-06,1.03047756838608e-07,2937979
0.5027721065687254,0.24998369902306092,6.773741335973592e-05,0.16700765608351145,0.0002264195732732031,0.0011869931707541323,7.013353012802546e-06,0.4955865292978695,6.237980395648176e-05,0.09187240719897363,0.000748019194271424,0.4925954621205457,0.00011467707162392493,0.0778474511462892,0.0010006614386942228,0.39252602022523453,0.00014283817431640655,1.723050260343044e-07,1.3461330158930032e-09,1.5884369587537437e-07,2.6922660317860063e-09,37691912
0.5014701448341841,0.2514130755475116,0.00036142289483582146,0.19472390939040643,0.0009088708190828805,0.008541856182319316,0.00011084032718790238,0.492313104972114,0.00021959494929431198,0.07837374529293768,0.002230512605722143,0.4900590536947579,0.00024372953666587137,0.06552947680465714,0.0022852375342889302,0.3928749301875743,0.00042955592749791916,9.832609669894567e-07,2.979578687846838e-08,9.336013221920093e-07,3.9727715837957845e-08,5116796
0.5033235722731646,0.24468005535534412,0.00022893227286343857,0.19119559481087653,0.0010002947312760817,0.015227162080353778,0.00022738448245071712,0.49528069045578654,0.00013916042892559357,0.04504534438143281,0.0015939427086644328,0.4878321601568935,0.0003239103209168012,0.04926827946021432,0.002229099610757587,0.40281625403268356,0.0003631679141121911,1.477436303052308e-06,5.628328773532602e-08,1.0130991792358684e-06,7.035410966915753e-08,3580709
0.503340660954872,0.24424331055880424,0.0008117053366425374,0.18391475189612944,0.00233721908786528,0.047265193382677206,0.0013537745793762513,0.4952085034918998,0.0004587170062349281,0.04799802177068666,0.003931540390023262,0.48910477025405924,0.0006192679584171529,0.057858199760804765,0.004530110142061522,0.40097796101354777,0.0007602395261869113,5.202522143883941e-06,3.915876882493288e-07,4.531228964027948e-06,5.59410983213327e-07,907135
0.49613505626378335,0.23452637920763825,0.0006525360445389597,0.2071600845397471,0.0030615842089689554,0.09933896838039832,0.004354344297206517,0.4877866988939648,0.0003291408224655633,0.0370706137302611,0.003177317016868318,0.4686382543869844,0.0004629312315974506,0.08981440453029758,0.006219202024492701,0.42306825607659637,0.0008437824575925163,1.0177920694695723e-05,9.028800616262335e-07,1.1573280789936266e-05,1.3132800896381579e-06,617996
0.4978396478476341,0.24339501699962235,0.00015553421974862729,0.18586611385400645,0.0006800229798046404,0.0019043232589198754,1.7437164096160016e-05,0.4896694117704872,0.00011772727759468035,0.1041225908072915,0.0013205745608825185,0.48709893600320275,0.00016459626108951045,0.08051063628527962,0.0010991489968068865,0.40496445060149544,0.00020755509263550468,3.5138527648322456e-07,5.28398912004849e-09,3.170393472029094e-07,5.28398912004849e-09,19057542
