Estimate Total Population,Male Estimate Total,Male Margin od Error Total,Estimate Total Income,Estimate Mean income (dollars),Margin of Error Mean income (dollars),Estimate Margin of Error Total,Estimate Total Insured,Margin of Error Total Insured,Estimate Total Uninsured,Margin of Error Total Uninsured,Estimate Total Poverty,Margin of Error Total Poverty,Estimate Below Poverty,Margin of Error Below Poverty,Estimate Number Population 16 years and over,Margin of Error Number Population 16 years and over,Estimate Percent Unemployed,Margin of Error Percent Unemployed,Estimate PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Margin of Error PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Estimate Occupied housing units,Margin of Error Occupied housing units,Estimate Owner-occupied housing units,Margin of Error Owner-occupied housing units,Estimate Owner-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Margin of Error Owner-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Estimate Renter-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Margin of Error Renter-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Population
0.4884109166220806,0.23701947762693365,0.0004537805033880378,0.18526329021273133,0.0011163857728426355,0.006708725255891976,8.981710368454189e-05,0.4799876032698288,0.00017034630232897773,0.07007693733292839,0.0017434724603856188,0.4763337822530073,0.0002620005740434307,0.0906632216272065,0.0023141172634541115,0.3863722567483363,0.0004429616249896725,1.2043657084972663e-06,4.082595622024632e-08,1.500353891094052e-06,5.103244527530789e-08,0.18526329021273133,0.0011163857728426355,0.1299128876777891,0.0013075533128439388,7.879409550507538e-05,1.1227137960567736e-06,6.807728199726073e-05,9.18584014955542e-07,4802740
0.4930689648079448,0.2571995671858817,0.0012237206742994296,0.17583042939242538,0.0019364067554941313,0.06445182099982588,0.0020420666105549737,0.47598659765248735,0.0012927794030973658,0.09449996448709591,0.005064076582752662,0.48121641518435504,0.0010862938039915367,0.047843196723922225,0.004226394202433696,0.37773812536623946,0.001092509089583351,6.629637964601876e-06,4.834111015855535e-07,4.9722284734514074e-06,6.215285591814259e-07,0.17583042939242538,0.0019364067554941313,0.11241725167372046,0.0026780975027839663,0.0009412704735158705,3.3148189823009384e-05,0.0006774661295077542,1.4502333047566604e-05,722718
0.49093852118862374,0.2442316452259489,0.00021103414482337454,0.17865950153246185,0.0009870458097560445,0.005479080190952902,7.118670826468565e-05,0.48301130713699403,0.00015316624004046877,0.08153036661008725,0.0016575786747008254,0.4801417938902989,0.00028114922522171006,0.0837591229375527,0.002574432859210938,0.3799487218083341,0.0003550915479998674,9.032292016379469e-07,3.061793903857447e-08,9.56810594955452e-07,3.827242379821809e-08,0.17865950153246185,0.0009870458097560445,0.11657305710882132,0.0010187353766609691,8.565368446041208e-05,9.185381711572341e-07,6.460385137139213e-05,6.889036283679256e-07,6482505
0.48890739294769187,0.23943912608445375,0.0007205746544991903,0.18656993113108597,0.0013561395727035386,0.01026793781361259,0.0001839088586378565,0.4798717616263533,0.00027979582497042406,0.08377358093655438,0.0025471125908342255,0.4752174785642107,0.0003422143911869122,0.0895109014264533,0.0027777098676340125,0.3833253004694984,0.0006809146003616361,1.6064832055718128e-06,6.693680023215887e-08,2.3595222081836e-06,1.004052003482383e-07,0.18656993113108597,0.0013561395727035386,0.12576889269220795,0.0015380403273344305,0.00010994369438132094,2.175446007545163e-06,0.0001067641963702934,1.3387360046431775e-06,2937979
0.49383386839284554,0.24553951086551812,6.653318359814594e-05,0.16403860870047846,0.00022239430606534473,0.0011658909108341242,6.8886702413819625e-06,0.4867760356810831,6.127082130242613e-05,0.09023910764514567,0.0007347209749963779,0.483838143432284,0.00011263835275687704,0.07646348602443813,0.0009828717678759492,0.38554772725081354,0.00014029880984895202,1.6924180247541098e-07,1.3222015818391483e-09,1.560197866570195e-07,2.6444031636782965e-09,0.16403860870047846,0.00022239430606534473,0.09127388904712462,0.0003623096774555634,2.3667408314920753e-05,1.0577612654713185e-07,1.5377204396789294e-05,6.611007909195741e-08,37691912
0.48836123002958187,0.24484089448735072,0.0003519749506548132,0.18963363798559135,0.0008851120564556734,0.00831856379667946,0.00010794285378696663,0.4794435640497873,0.00021385452484138279,0.07632497975715004,0.002172204847981807,0.4772484358538238,0.0002373582107466094,0.06381647287516806,0.00222549921396444,0.3826047993697249,0.00041832691991812784,9.575575739166395e-07,2.9016896179292103e-08,9.09196080284486e-07,3.868919490572281e-08,0.18963363798559135,0.0008851120564556734,0.12504270415139798,0.0010879401607489252,0.0001283514040997354,1.1606758471716842e-06,8.347193800909695e-05,7.737838981144561e-07,5116796
0.49038901628561127,0.23839219591586266,0.00022304910453230603,0.18628219464071188,0.0009745888654702911,0.01483585002721395,0.00022154108968912512,0.4825528227914093,0.00013558424362781232,0.043887755981094484,0.0015529811039594115,0.4752957069969888,0.00031558637900022646,0.048002168842325936,0.002171815558697475,0.39246456442881467,0.0003538351191136336,1.4394687139454292e-06,5.4836903388397305e-08,9.870642609911516e-07,6.854612923549663e-08,0.18628219464071188,0.0009745888654702911,0.12662074049220337,0.0011359464536906502,0.0002336052084345725,2.056383877064899e-06,0.00013599552040322532,1.645107101651919e-06,3580709
0.49077939762642947,0.2381480260365495,0.0007914485895334793,0.1793250141543586,0.002278891941468557,0.04608565318971275,0.0013199900666237216,0.4828501845691943,0.0004472693614179552,0.04680019326709997,0.0038334256976163285,0.47689877481013176,0.0006038136379142396,0.05641430273582299,0.0044170576692226845,0.39097123962601277,0.0007412671489841477,5.072689099008517e-06,3.8181530852752274e-07,4.418148570104192e-06,5.45450440753604e-07,0.1793250141543586,0.002278891941468557,0.13084483352973753,0.002243437662819573,0.0006774494474159761,1.8545314985622535e-05,0.000519268819597431,1.1999909696579287e-05,907135
0.48402163355908,0.22880028279320702,0.0006366040017660076,0.20210215194681652,0.002986833869921017,0.09691355034180453,0.004248030477193296,0.4758771061352284,0.00032110466001027555,0.036165513378314425,0.003099740994762535,0.4571961819123363,0.0004516284993660733,0.08762153419527277,0.006067356630667975,0.4127388013160508,0.00082318102366724,9.929420908048422e-06,8.808357257139729e-07,1.1290712484151833e-05,1.281215601038506e-06,0.20210215194681652,0.002986833869921017,0.08583583995132535,0.0031421812615469356,0.0014966199739631046,5.44516630441365e-05,0.0009593101812775813,3.1229630275313584e-05,617996
0.4857052972799439,0.2374625034373312,0.00015174322649234162,0.18133581058485218,0.0006634480901454698,0.0018579072570649722,1.7012150413613973e-05,0.4777342026516741,0.0001148577912773695,0.10158470531678407,0.0012883868579910316,0.4752263796968381,0.00016058438951032584,0.07854826890586916,0.0010723583237236094,0.3950938413957084,0.00020249614189295665,3.428206068197968e-07,5.155197095034538e-09,3.0931182570207227e-07,5.155197095034538e-09,0.18133581058485218,0.0006634480901454698,0.12357342524608964,0.0006529572640570745,2.801849621151271e-05,1.804318983262088e-07,2.4409858244988535e-05,1.2887992737586343e-07,19057542
