Estimate Total Population,Male Estimate Total,Male Margin od Error Total,Estimate Total Income,Estimate Mean income (dollars),Margin of Error Mean income (dollars),Estimate Margin of Error Total,Estimate Total Insured,Margin of Error Total Insured,Estimate Total Uninsured,Margin of Error Total Uninsured,Estimate Total Poverty,Margin of Error Total Poverty,Estimate Below Poverty,Margin of Error Below Poverty,Estimate Number Population 16 years and over,Margin of Error Number Population 16 years and over,Estimate Percent Unemployed,Margin of Error Percent Unemployed,Estimate PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Margin of Error PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Estimate Occupied housing units,Margin of Error Occupied housing units,Estimate Owner-occupied housing units,Margin of Error Owner-occupied housing units,Estimate Owner-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Margin of Error Owner-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Estimate Renter-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Margin of Error Renter-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Estimate Number Women 15 to 50 years,Margin of Error Number Women 15 to 50 years,"Estimate Women with births (Rate per 1,000 women)","Margin of Error Women with births (Rate per 1,000 women)","Estimate Percent of women who had a birth in the past 12 months who were unmarried (Rate per 1,000 women)","Margin of Error Percent of women who had a birth in the past 12 months who were unmarried (Rate per 1,000 women)",Population
0.48839970837772645,0.2370140384114462,0.0004537700898559237,0.18525903871843447,0.0011163601535861658,0.0067085713014462135,8.981504252658858e-05,0.47997658832695733,0.0001703423931555413,0.07007532918001762,0.0017434324504990752,0.4763228511594467,0.0002619945615519919,0.09066114105220838,0.0023140641581878897,0.38636339012697735,0.0004429514597334028,1.2043380702428925e-06,4.082501933026754e-08,1.500319460387332e-06,5.1031274162834425e-08,0.18525903871843447,0.0011163601535861658,0.12990990638613428,0.0013075233066001436,7.879228730741634e-05,1.1226880315823573e-06,6.807571973322112e-05,9.185629349310196e-07,0.006760929388737282,0.00043131632922427653,5.7155027062374556e-06,4.082501933026754e-07,4.592814674655098e-06,3.470126643072741e-07,4802740
0.49305023666770414,0.2571897980259712,0.001223674193960898,0.17582375086026197,0.0019363332053421883,0.06444937293915161,0.00204198904714581,0.47596851834839443,0.001292730299714899,0.09449637511377498,0.005063884234940894,0.48119813723714494,0.0010862525435104359,0.04784137950531436,0.004226233672144862,0.3777237778142923,0.001092467593028296,6.629386152384097e-06,4.83392740278007e-07,4.972039614288073e-06,6.215049517860092e-07,0.17582375086026197,0.0019363332053421883,0.11241298175165054,0.0026779957811401594,0.0009412347214270338,3.314693076192048e-05,0.00067744039744675,1.4501782208340213e-05,0.008627869852904887,0.001233342048766458,4.833927402780071e-05,6.9056105754001014e-06,2.2028897735526322e-05,4.281478556748063e-06,722718
0.4909277970287512,0.24422631018073185,0.00021102953495103822,0.17865559885834995,0.0009870242485287043,0.005478960504822385,7.118515324790191e-05,0.4830007561407808,0.00015316289424629218,0.08152858564434866,0.0016575424662186192,0.48013130557631056,0.00028114308374144485,0.08375729328641227,0.0025743766227813813,0.37994042213197915,0.00035508379130862037,9.032094713174651e-07,3.061727021415136e-08,9.567896941922299e-07,3.82715877676892e-08,0.17865559885834995,0.0009870242485287043,0.1165705106634981,0.001018713123200351,8.565181342408842e-05,9.185181064245408e-07,6.460244015185937e-05,6.888885798184055e-07,0.006598787162904972,0.0003793479779533353,4.28641782998119e-06,2.296295266061352e-07,3.1612331496111273e-06,2.4493816171321087e-07,6482505
0.48889777668943785,0.23943441658628342,0.0007205604816065956,0.1865662615104869,0.0013561128989642013,0.01026773585483026,0.0001839052413575589,0.47986232308879967,0.00027979032170139987,0.08377193320448738,0.002547062491995818,0.4752081315711675,0.0003422076602149299,0.08950914084774844,0.0027776552332066605,0.3833177608921924,0.0006809012075376771,1.6064516078549274e-06,6.693548366062199e-08,2.3594757990369247e-06,1.0040322549093296e-07,0.1865662615104869,0.0013561128989642013,0.12576641895961585,0.0015380100758119416,0.0001099415319125716,2.1754032189702144e-06,0.00010676209643869207,1.3387096732124397e-06,0.006249096754555668,0.0005348145144483696,9.036290294183968e-06,8.366935457577748e-07,6.542943527825799e-06,7.530241911819973e-07,2937979
0.4938227170156392,0.24553396628083088,6.653168119688403e-05,0.16403490450658026,0.00022238928412789935,0.0011658645835808507,6.888514686720307e-06,0.48676504367843537,6.126943773178868e-05,0.09023706993491046,0.0007347043840915048,0.483827217770863,0.00011263580924408885,0.07646175938471221,0.0009828495734204236,0.3855390211080947,0.00014029564172896193,1.6923798078698644e-07,1.3221717248983316e-09,1.5601626353800313e-07,2.644343449796663e-09,0.16403490450658026,0.00022238928412789935,0.0912718279702504,0.0003623014960566408,2.366687387568013e-05,1.0577373799186652e-07,1.5376857160567595e-05,6.610858624491657e-08,0.006718126416532659,0.00016950241513196608,7.007510141961157e-07,1.3221717248983315e-08,4.4821621474053433e-07,1.5866060698779977e-08,37691912
0.48835036101738455,0.24483544528601173,0.0003519671170681225,0.1896294174820019,0.0008850923573207994,0.008318378657962849,0.00010794045140094111,0.47943289350997953,0.00021384976527552042,0.07632328106142047,0.0021721565031920568,0.47723781416898997,0.00023735292808056406,0.06381505256991159,0.002225449683050407,0.38259628408232,0.00041831760959594114,9.575362624277035e-07,2.9016250376597072e-08,9.09175845133375e-07,3.868833383546277e-08,0.1896294174820019,0.0008850923573207994,0.12503992118953894,0.001087915947453213,0.00012834854749914771,1.160650015063883e-06,8.347008025001091e-05,7.737666767092552e-07,0.006658068811413964,0.0004263454388667997,5.31964590237613e-06,3.868833383546276e-07,2.882280870741976e-06,2.9016250376597076e-07,5116796
0.4903808376118337,0.2383882200274623,0.0002230453845349126,0.18627908783927477,0.0009745726113452327,0.014835602595942944,0.00022153739484229794,0.4825447748091197,0.0001355819823632628,0.043887024024164216,0.0015529552034489796,0.4752877800483698,0.0003155811156726299,0.048001368265505204,0.0021717793373092105,0.39245801893220866,0.0003538292178762197,1.4394447065867131e-06,5.483598882235098e-08,9.870477988023176e-07,6.854498602793872e-08,0.18627908783927477,0.0009745726113452327,0.12661862872033336,0.0011359275084550004,0.00023360131238321516,2.0563495808381615e-06,0.00013599325227943042,1.6450796646705293e-06,0.005758053006290964,0.0004475987587624398,6.580318658682117e-06,5.483598882235097e-07,4.386879105788078e-06,5.483598882235097e-07,3580709
0.4907720158275593,0.23814444405890733,0.0007914366853779009,0.17932231693195425,0.002278857664720103,0.046084960016722416,0.0013199702126909167,0.48284292203339074,0.0004472626340522941,0.04679948934673279,0.00383336803917015,0.476891601789312,0.000603804555970597,0.056413454209910514,0.004416991232384729,0.3909653590387899,0.0007412559996061801,5.072612800836994e-06,3.818095656543974e-07,4.418082116858027e-06,5.454422366491392e-07,0.17932231693195425,0.002278857664720103,0.1308428654963421,0.0022434039193379093,0.0006774392579182308,1.854503604607073e-05,0.0005192610092899805,1.1999729206281062e-05,0.0054009690272997755,0.0009539784718993443,2.454490064921126e-05,4.363537893193113e-06,2.3181295057588416e-05,4.03627255120363e-06,907135
0.4840083740271192,0.22879401492323598,0.0006365865623159449,0.20209661545886376,0.0029867520470924203,0.09691089544328535,0.004247914104510801,0.47586406971854633,0.000321095863507791,0.036164522642059535,0.0030996560788993993,0.4571836572502838,0.00045161612722791555,0.08761913384691526,0.006067190418450206,0.41272749454183233,0.0008231584730324418,9.929148896500272e-06,8.808115956572822e-07,1.1290403180697889e-05,1.2811805027742287e-06,0.20209661545886376,0.0029867520470924203,0.08583348852117367,0.0031420951830537958,0.0014965789748031457,5.445017136790471e-05,0.0009592839014522037,3.122877475512182e-05,0.0072851126338999575,0.001308405588458181,3.923615289746075e-05,7.206640328105036e-06,4.267932549866649e-05,7.1265665466816464e-06,617996
0.4856980443025274,0.23745895743899775,0.0001517409605294192,0.1813331027195142,0.0006634381829568066,0.001857879513164601,1.7011896373265954e-05,0.4777270687056325,0.00011485607612011074,0.10158318836488413,0.001288367618668675,0.475219283199808,0.0001605819915234044,0.07854709595423848,0.001072342310328763,0.39508794150800886,0.00020249311804299597,3.4281548752187456e-07,5.155120113110895e-09,3.093072067866537e-07,5.155120113110895e-09,0.1813331027195142,0.0006634381829568066,0.12357157993934167,0.000652947513526626,2.8018077814757715e-05,1.8042920395888132e-07,2.440949373558009e-05,1.2887800282777238e-07,0.005457648336948808,0.0002821397237905593,1.2372288271466149e-06,5.155120113110895e-08,1.0439118229049562e-06,5.4128761187664406e-08,19057542
